Row ID,avg(density),avg(velocity (0)),avg(velocity (1)),avg(velocity (2))
87,1,0.0681476,4.41529e-05,0
88,1,0.0660743,4.02354e-05,0
89,1,0.0640641,3.66958e-05,0
90,1,0.0621144,3.41843e-05,0
91,1,0.0602228,3.2977e-05,0
92,1,0.0583876,3.29361e-05,0
93,1,0.0566075,3.35995e-05,0
94,1,0.0548815,3.43582e-05,0
95,1,0.0532083,3.46558e-05,0
96,1,0.0515869,3.41502e-05,0
97,1,0.0500157,3.27905e-05,0
98,1,0.0484931,3.07983e-05,0
99,1,0.0470173,2.85683e-05,0
100,1,0.0455863,2.65293e-05,0
101,1,0.0441986,2.50105e-05,0
102,1,0.0428525,2.41542e-05,0
103,1,0.0415467,2.38943e-05,0
104,1,0.0402804,2.40005e-05,0
105,1,0.0390526,2.41669e-05,0
106,1,0.0378623,2.41123e-05,0
107,1,0.0367086,2.36621e-05,0
108,1,0.0355906,2.27879e-05,0
109,1,0.034507,2.15988e-05,0
110,1,0.0334565,2.02922e-05,0
111,1,0.032438,1.90837e-05,0
112,1,0.0314503,1.81401e-05,0
113,1,0.0304924,1.75345e-05,0
114,1,0.0295634,1.72353e-05,0
115,1,0.0286625,1.71276e-05,0
116,1,0.027789,1.70578e-05,0
117,1,0.0269421,1.68837e-05,0
118,1,0.0261213,1.65162e-05,0
119,1,0.0253257,1.59395e-05,0
120,1,0.0245545,1.52075e-05,0
121,1,0.0238069,1.44185e-05,0
122,1,0.023082,1.36812e-05,0
123,1,0.0223791,1.30798e-05,0
124,1,0.0216975,1.26519e-05,0
125,1,0.0210365,1.23824e-05,0
126,1,0.0203955,1.22141e-05,0
127,1,0.019774,1.20695e-05,0
128,1,0.0191715,1.1877e-05,0
129,1,0.0185874,1.15909e-05,0
130,1,0.0180213,1.12027e-05,0
131,1,0.0174725,1.07387e-05,0
132,1,0.0169404,1.02481e-05,0
133,1,0.0164245,9.78537e-06,0
134,1,0.0159243,9.39321e-06,0
135,1,0.0154393,9.09087e-06,0
136,1,0.0149689,8.87111e-06,0
137,1,0.0145129,8.70534e-06,0
138,1,0.0140707,8.55469e-06,0
139,1,0.013642,8.38284e-06,0
140,1,0.0132264,8.16655e-06,0
141,1,0.0128236,7.90105e-06,0
142,1,0.012433,7.59924e-06,0
143,1,0.0120544,7.28569e-06,0
144,1,0.0116873,6.98775e-06,0
145,1,0.0113313,6.72697e-06,0
146,1,0.0109862,6.5132e-06,0
147,1,0.0106515,6.34297e-06,0
148,1,0.010327,6.202e-06,0
149,1,0.0100124,6.07073e-06,0
150,1,0.00970734,5.93077e-06,0
151,1,0.00941163,5.77024e-06,0
152,1,0.00912495,5.58652e-06,0
153,1,0.00884703,5.38593e-06,0
154,1,0.00857759,5.18067e-06,0
155,1,0.00831635,4.98449e-06,0
156,1,0.00806305,4.80825e-06,0
157,1,0.00781745,4.65698e-06,0
158,1,0.00757931,4.52899e-06,0
159,1,0.00734842,4.41716e-06,0
160,1,0.00712455,4.31163e-06,0
161,1,0.00690751,4.20307e-06,0
162,1,0.00669709,4.0854e-06,0
163,1,0.0064931,3.9572e-06,0
164,1,0.00629533,3.82152e-06,0
165,1,0.00610359,3.68444e-06,0
166,1,0.00591769,3.55284e-06,0
167,1,0.00573745,3.43218e-06,0
168,1,0.00556269,3.32504e-06,0
169,1,0.00539324,3.23059e-06,0
170,1,0.00522894,3.14524e-06,0
171,1,0.00506965,3.06404e-06,0
172,1,0.00491522,2.98224e-06,0
173,1,0.00476549,2.89674e-06,0
174,1,0.00462033,2.80673e-06,0
175,1,0.0044796,2.7137e-06,0
176,1,0.00434316,2.62066e-06,0
177,1,0.00421088,2.53106e-06,0
178,1,0.00408262,2.44763e-06,0
179,1,0.00395826,2.37168e-06,0
180,1,0.00383769,2.3028e-06,0
