"velocity:0","velocity:1","velocity:2","Points:0","Points:1","Points:2"
0.14347,0.0007692071,0,127.5,77.01,0
0.1431377,0.0007822498,0,127.5,77.265,0
0.1428054,0.0007952925,0,127.5,77.52,0
0.1424732,0.0008083357,0,127.5,77.775,0
0.1421383,0.0008213558,0,127.5,78.03,0
0.1417843,0.0008342073,0,127.5,78.285,0
0.1414302,0.0008470584,0,127.5,78.54,0
0.1410761,0.0008599095,0,127.5,78.795,0
0.1407178,0.0008727207,0,127.5,79.05,0
0.1403421,0.0008853663,0,127.5,79.305,0
0.1399663,0.0008980118,0,127.5,79.56,0
0.1395906,0.0009106578,0,127.5,79.815,0
0.139209,0.0009232438,0,127.5,80.07,0
0.138812,0.0009356725,0,127.5,80.325,0
0.1384149,0.0009481016,0,127.5,80.58,0
0.1380179,0.0009605303,0,127.5,80.835,0
0.1376134,0.0009728795,0,127.5,81.09,0
0.137195,0.0009850834,0,127.5,81.345,0
0.1367767,0.0009972869,0,127.5,81.6,0
0.1363584,0.001009491,0,127.5,81.855,0
0.1359311,0.001021592,0,127.5,82.11,0
0.135492,0.00103356,0,127.5,82.365,0
0.1350529,0.001045527,0,127.5,82.62,0
0.1346138,0.001057495,0,127.5,82.875,0
0.1341641,0.001069335,0,127.5,83.13,0
0.1337043,0.001081055,0,127.5,83.385,0
0.1332446,0.001092773,0,127.5,83.64,0
0.1327848,0.001104492,0,127.5,83.895,0
0.132313,0.001116062,0,127.5,84.15,0
0.1318327,0.001127525,0,127.5,84.405,0
0.1313524,0.001138989,0,127.5,84.66,0
0.1308721,0.001150453,0,127.5,84.915,0
0.1303785,0.001161739,0,127.5,85.17,0
0.1298784,0.001172936,0,127.5,85.425,0
0.1293782,0.001184133,0,127.5,85.68,0
0.128878,0.00119533,0,127.5,85.935,0
0.1283631,0.001206322,0,127.5,86.19,0
0.1278431,0.001217244,0,127.5,86.445,0
0.1273232,0.001228166,0,127.5,86.7,0
0.1268033,0.001239088,0,127.5,86.955,0
0.1262671,0.001249777,0,127.5,87.21,0
0.1257276,0.001260416,0,127.5,87.465,0
0.125188,0.001271056,0,127.5,87.72,0
0.1246484,0.001281695,0,127.5,87.975,0
0.1240917,0.001292071,0,127.5,88.23,0
0.1235331,0.001302417,0,127.5,88.485,0
0.1229745,0.001312764,0,127.5,88.74,0
0.1224159,0.001323111,0,127.5,88.995,0
0.1218389,0.001333164,0,127.5,89.25,0
0.1212614,0.001343212,0,127.5,89.505,0
0.120684,0.00135326,0,127.5,89.76,0
0.1201054,0.00136329,0,127.5,90.015,0
0.1195095,0.001373031,0,127.5,90.27,0
0.1189136,0.001382773,0,127.5,90.525,0
0.1183176,0.001392515,0,127.5,90.78,0
0.1177192,0.001402214,0,127.5,91.035,0
0.1171053,0.001411641,0,127.5,91.29,0
0.1164914,0.001421068,0,127.5,91.545,0
0.1158775,0.001430495,0,127.5,91.8,0
0.1152597,0.001439853,0,127.5,92.055,0
0.114628,0.001448959,0,127.5,92.31,0
0.1139962,0.001458065,0,127.5,92.565,0
0.1133645,0.00146717,0,127.5,92.82,0
0.1127276,0.00147618,0,127.5,93.075,0
0.1120785,0.00148496,0,127.5,93.33,0
0.1114294,0.00149374,0,127.5,93.585,0
0.1107803,0.00150252,0,127.5,93.84,0
0.1101249,0.001511177,0,127.5,94.095,0
0.109459,0.001519626,0,127.5,94.35,0
0.108793,0.001528076,0,127.5,94.605,0
0.1081271,0.001536525,0,127.5,94.86,0
0.1074537,0.001544821,0,127.5,95.115,0
0.106771,0.001552932,0,127.5,95.37,0
0.1060884,0.001561042,0,127.5,95.625,0
0.1054057,0.001569152,0,127.5,95.88,0
0.1047146,0.001577082,0,127.5,96.135,0
0.1040159,0.001584851,0,127.5,96.39,0
0.1033172,0.00159262,0,127.5,96.645,0
0.1026185,0.001600389,0,127.5,96.9,0
0.1019102,0.001607947,0,127.5,97.155,0
0.1011957,0.001615369,0,127.5,97.41,0
0.1004812,0.001622791,0,127.5,97.665,0
0.09976671,0.001630213,0,127.5,97.92,0
0.09904173,0.001637394,0,127.5,98.175,0
0.09831198,0.001644465,0,127.5,98.43,0
0.09758222,0.001651536,0,127.5,98.685,0
0.09685245,0.001658607,0,127.5,98.94,0
0.09611134,0.001665408,0,127.5,99.195,0
0.09536674,0.001672127,0,127.5,99.45,0
0.09462211,0.001678845,0,127.5,99.705,0
0.0938775,0.001685563,0,127.5,99.96,0
0.09312075,0.00169198,0,127.5,100.215,0
0.09236172,0.001698341,0,127.5,100.47,0
0.09160271,0.001704702,0,127.5,100.725,0
0.09084367,0.001711063,0,127.5,100.98,0
0.0900718,0.001717094,0,127.5,101.235,0
0.08929884,0.001723096,0,127.5,101.49,0
0.08852586,0.001729098,0,127.5,101.745,0
0.0877529,0.001735101,0,127.5,102,0
0.08696645,0.001740741,0,127.5,102.255,0
0.08617998,0.001746382,0,127.5,102.51,0
0.08539353,0.001752022,0,127.5,102.765,0
0.08460606,0.001757634,0,127.5,103.02,0
0.08380657,0.001762912,0,127.5,103.275,0
0.0830071,0.00176819,0,127.5,103.53,0
0.08220761,0.001773467,0,127.5,103.785,0
0.08140617,0.001778688,0,127.5,104.04,0
0.08059417,0.001783601,0,127.5,104.295,0
0.07978215,0.001788515,0,127.5,104.55,0
0.07897015,0.001793428,0,127.5,104.805,0
0.07815531,0.001798256,0,127.5,105.06,0
0.07733124,0.001802804,0,127.5,105.315,0
0.07650719,0.001807352,0,127.5,105.57,0
0.07568314,0.0018119,0,127.5,105.825,0
0.07485545,0.001816333,0,127.5,106.08,0
0.07401987,0.001820515,0,127.5,106.335,0
0.0731843,0.001824697,0,127.5,106.59,0
0.0723487,0.001828879,0,127.5,106.845,0
0.0715088,0.001832918,0,127.5,107.1,0
0.07066215,0.001836737,0,127.5,107.355,0
0.06981554,0.001840556,0,127.5,107.61,0
0.06896892,0.001844374,0,127.5,107.865,0
0.06811731,0.001848021,0,127.5,108.12,0
0.06726014,0.001851473,0,127.5,108.375,0
0.06640296,0.001854926,0,127.5,108.63,0
0.06554577,0.001858378,0,127.5,108.885,0
0.0646831,0.001861631,0,127.5,109.14,0
0.06381593,0.00186472,0,127.5,109.395,0
0.06294874,0.001867809,0,127.5,109.65,0
0.06208157,0.001870899,0,127.5,109.905,0
0.06120842,0.001873761,0,127.5,110.16,0
0.06033175,0.001876488,0,127.5,110.415,0
0.05945508,0.001879215,0,127.5,110.67,0
0.05857839,0.001881942,0,127.5,110.925,0
0.05769539,0.001884415,0,127.5,111.18,0
0.05680976,0.001886782,0,127.5,111.435,0
